가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크,address,tel,menu1,price,image1,menu2,price2,image2,menu3,price3,image3,menu4,price4,image4
탕탕,0.305,0.09,0.062,0.017,0.058,0.222,0.206,0.026,0.013,3801002,서울 마포구 성미산로 97,0507-1349-4407,마늘간장치킨가라아게,"12,000원",none,1인 김치찌개,"8,000원",none,양푼이김치찌개 (중),"17,000원",none,양푼이꽁치찌개(중),"18,000원",none
유니오 피자&펍,0.243,0.171,0.087,0.125,0.148,0.081,0.061,0.085,0,182893205,서울 마포구 와우산로15길 19 지층 유니오 피자&펍,0507-1385-0856,페퍼 머쉬룸(L),"20,800원",none,스윗 갈릭 포테이토(L),"21,800원",none,크림 봉골레 파스타,"15,800원",none,치즈(L),"18,800원",none
보은식당,0.386,0.158,0.053,0.07,0.158,0.105,0.053,0.018,0,1879000,서울 마포구 성지길 11 성지길11,02-325-1488,삼겹살.목살,"17,000원",none,소갈빗살,"25,000원",none,한우차돌박이,"27,000원",none,김치버섯전골,"25,000원",none
한우명가,0.424,0.126,0.044,0,0.123,0.145,0.084,0,0.054,1317987,서울 서대문구 연희로 46-1,02-3143-6832,생왕갈비 500g,"96,000원",none,생등심 200g,"42,000원",none,특수모둠 200g,"46,000원",none,갈비살 200g,"42,000원",none
연남 흑돼지,0.345,0.223,0.061,0.11,0.138,0.061,0.061,0,0,101353403,서울 마포구 동교로32길 3 연남흑돼지,0507-1384-3887,흑돼지오겹살,"17,000원",none,김치전골,"8,500원",none,김치전골(스팸),"9,500원",none,비빔라면(팔도),"4,000원",none
로로11,0.304,0.127,0.13,0.069,0.12,0.078,0.048,0.123,0,3500335,서울 마포구 어울마당로5길 42 roro11,0507-1403-1038,까르보나라(no cream)(salty),"15,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230218_69%2F1676700683207FKBMD_JPEG%2F20230127_200010-02.jpeg,"뇨끼 (크림,토마토)","14,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_202%2F1587200677902oFUWs_JPEG%2FAI89EFO6PFSPJQtFzArHcwHc.jpg,감베리 바질 페스토(salty),"16,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_193%2F15872075721547rK2o_JPEG%2Fjw2kwUto2HfYBjBEHcqqcuWJ.jpg,알리오올리오,"14,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200421_246%2F1587438456274HQGk7_JPEG%2F338MjYiazfEw9NsK7VyOh-mV.jpg
멘야하나비 합정점,0.273,0.13,0.128,0.053,0.097,0.049,0.094,0.017,0.159,139392757,서울 마포구 잔다리로7안길 14 1층,070-8888-8001,마제소바,"11,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220418_27%2F1650253212904VGffh_JPEG%2F%25B8%25B6%25C1%25A6%25BC%25D2%25B9%25D9.jpg,도니꾸마제소바,"14,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220418_257%2F1650253220596Ixyud_JPEG%2F%25B5%25B5%25B4%25CF%25B2%25D9_%25B8%25B6%25C1%25A6%25BC%25D2%25B9%25D9.jpg,타이완라멘,"11,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230127_275%2F167478884971675Ug6_PNG%2F_%25C5%25B8%25C0%25CC%25BF%25CF%25B6%25F3%25B8%25E0_%25B4%25A9%25B3%25A2.png,★도전메뉴★메가마제소바,"70,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230102_41%2F1672639170840gPVoR_PNG%2FKakaoTalk_20230102_140225781_01.png
일본밥집 쿠루미,0.26,0.156,0.146,0.135,0,0.094,0,0.208,0,100955387,서울 마포구 동교로 262-8 2층,0507-1338-7315,쇼가야키 정식,"10,000원",none,오야코도지니 정식,"10,000원",none,함박쯔꾸네 정식,"10,000원",none,,,
토파,0.27,0.242,0.121,0.149,0.093,0,0,0.126,0,102303713,서울 마포구 토정로3길 5 1층,02-332-3693,Green Polpo,"24,000원",none,Hanwoo Carpaccio,"29,000원",none,Vongole,"22,000원",none,Fresca con Gambero,"29,000원",none
쿄다이텐동,0.277,0.12,0.05,0.09,0.108,0.062,0.133,0.034,0.127,199260649,서울 마포구 동교로38길 33 지1층 2호,0507-1389-0249,스페셜텐동,"16,000원",none,전복텐동,"14,500원",none,아나고텐동,"14,000원",none,에비텐동,"13,000원",none
비사벌전주콩나물국밥 합정점,0.389,0.125,0.029,0.023,0.089,0.12,0.103,0,0.122,2027217,서울 마포구 독막로 35,02-333-7580,전주콩나물국밥,"9,000원",none,모주,"2,000원",none,,,,,,
스탠딩박스 연남,0.325,0.275,0.124,0.108,0,0,0,0.169,0,104744371,서울 마포구 동교로36길 7 101호,0507-1341-4531,스탠딩박스 오뎅,"12,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221014_197%2F16657181060432SuvJ_JPEG%2F5387E7BB-9723-4D54-84E1-0158F7684560.jpeg,아사히 엑스트라 콜드 (프리미엄),"7,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220907_250%2F1662558469647oTj0y_JPEG%2F6F04D155-4DE1-4A62-A7D6-5284E68F413F.jpeg,산토리 가쿠빈 하이볼,"7,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220907_131%2F1662558371807gjY0t_GIF%2F297AD9AC-3C70-4E03-946A-231197B1C476.gif,우삼겹야끼소바,"12,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220907_67%2F16625579711722MWGg_GIF%2F6F1437A3-BA19-4F24-ADCF-D73C8CCF0214.gif
낭만식탁,0.273,0.142,0.042,0.042,0.116,0.104,0.116,0.024,0.142,3875193,서울 마포구 토정로 31 1층,070-7622-7410,연어덮밥,"14,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200311_87%2F1583922782055m3Kfw_JPEG%2FEhEUHuna7z3y3uK6lKLSEoM9.jpeg.jpg,명란아보카도덮밥,"11,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200311_299%2F1583922801352h2J0K_JPEG%2Fnor4czV_dhFw4Yw0alHWYYLf.jpeg.jpg,우삼겹덮밥,"10,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200311_251%2F15839227641275lEAK_JPEG%2FRoWwJztSpJELvTDEa7OIWkXi.jpeg.jpg,불닭덮밥???,"10,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230320_239%2F1679310392635pr7Go_JPEG%2FA76934D6-38E2-4B76-B96F-DF51E931BDDE.jpeg
쿄 라멘,0.291,0.127,0.097,0.054,0.059,0.102,0.107,0.008,0.155,163657119,"서울 마포구 동교로46길 25 지층 쿄, 라멘",0507-1327-8043,아부라소바,"8,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210528_59%2F1622163512760Bm2Mn_JPEG%2FHMcP_ubNXnsrL6TX6KVTi8Ks.jpeg.jpg,츠케멘,"10,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201203_299%2F1606976592449k08j6_JPEG%2FeghftLkuKff0g39o7YTy55Pc.jpeg.jpg,쿄 라멘,"8,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210108_99%2F1610080783497Rnyng_JPEG%2F2XKcCC-mayQOBjru5wPJ4LWQ.jpeg.jpg,매운 돈코츠라멘,"8,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210108_263%2F1610080828986AJbRu_JPEG%2FOuBmXOnmpIVJML6q0h3FxjG-.jpeg.jpg
청화원,0.37,0.071,0.136,0.065,0.072,0.076,0.086,0.043,0.081,118735939,서울 서대문구 명물길 10 1층 청화원,,우육도삭면,"9,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200603_157%2F1591150410899yO8md_JPEG%2F9ajDLVAVjKWosSPXeYz8X7Ni.jpg,쇼마이,"8,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200603_205%2F1591150617043Y7SNq_JPEG%2F5_spyngpCkkwlzrJAglMZB0P.jpg,유발도삭면,"9,500원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200603_89%2F1591150487940FgKTH_JPEG%2FD-FGw0PLa1560qZzB2g2OIaB.jpg,새우 아스파라거스(딤섬),"8,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200603_117%2F15911505819461HJS7_JPEG%2FUGJcLlVKNQSUvxVS0Ksr_Vxd.jpg
명인갈비 연남점,0.49,0.15,0.032,0.064,0.082,0.128,0.055,0,0,180348067,서울 마포구 연남로 83 1층 102호,0507-1408-8301,돼지양념구이800g(2인분),"33,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230128_199%2F1674884638028axb44_JPEG%2FKakaoTalk_20230126_150856759.jpg,돼지양념구이400g(1인분),"16,900원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230128_63%2F1674884585940EAl9r_JPEG%2FKakaoTalk_20230126_150928537.jpg,수제함흥물냉면,"8,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180507_171%2F15256691199663JM4i_JPEG%2FqYUcFbAmGAC9MLADESC0ZxD-.jpg,수제함흥비빔냉면,"8,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180507_111%2F1525669142614X5ouA_JPEG%2FiEK13QqqgjZ_TMJNJClHmR_r.jpg
따씽,0.306,0.192,0.153,0.075,0.096,0.06,0.05,0.025,0.043,185570746,서울 마포구 성미산로 190-4 2층,010-2613-6131,유니간짜장,"10,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220628_133%2F16563941341672o77y_JPEG%2FGY2-EJxP20lTkdPEjovQn6ZZWRtN1EJqb2NF_QCnSrbCe5GMfG_SEXxO9Ae5dchZEmFewF8YuU2TtxaE.jpg,깐풍군만두,"8,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220628_280%2F1656394134147533jO_JPEG%2FcGl7KfmIABm4GIRqhDB_6x0jj13LknYWYmVqDAn6ib69dXKOFXrG4RC3nloKOQfP6dpRARccv8K_ewlQ.jpg,고기튀김,"18,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220628_230%2F1656394134090Ep7Je_JPEG%2F0vbpgpFA6K3Jl56vEC2RbHrDPehRp3tCMH5-1tDZGK_hS1AqVZH_0lMrFAs8jFDHwCIIsGLyoIytE3gE.jpg,산동식 마늘쫑면,"9,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220628_119%2F16563941341373MWKf_JPEG%2FpUz44NvqLQ7D8P0hJXFIvNogR1Wz5um4Xw6aumyHr2p16VIuNFkd-yVPAUVMc2BAqmBCj9aXD3GW1_q0.jpg
연남광안리,0.285,0.172,0.105,0.055,0.197,0.072,0.081,0.033,0,129720486,서울 마포구 동교로 258-1 1층 연남광안리,0507-1384-7369,광안숙성회,"50,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230324_235%2F16796422947803peiy_JPEG%2FKakaoTalk_20230324_150736524.jpg,대방어회,"55,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211224_159%2F1640337369133oi4NB_JPEG%2FalQUGQxtnjDZWh_tWDvDFXfU.jpeg.jpg,육반연반,"30,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230331_210%2F16802451431016npMg_JPEG%2F%25C0%25B0%25B9%25DD%25BF%25AC%25B9%25DD_01.jpg,생연어회,"30,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211227_11%2F164060744883851vHQ_JPEG%2FIMG-1343.jpg
스테이키스트,0.365,0.305,0,0.094,0.12,0,0,0.116,0,184962768,서울 마포구 성미산로29길 14 1층,010-9697-9242,Fabulous 한우 명품차림,"162,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230629_223%2F1688011393957ioJtI_JPEG%2FScreenshot_20230612_210102_CatchTable.jpg,한우 립아이 *400g,"108,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220514_58%2F1652518736166gX2cY_JPEG%2FScreenshot_20220514-175404_Gallery.jpg,놀딕 GLC,"70,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230622_209%2F1687414955150b57Oa_JPEG%2F20230622_131037.jpg,티본 포터하우스 *650g,"137,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220514_281%2F1652518595181tL8qE_JPEG%2FScreenshot_20220514-175308_Gallery.jpg
정육도,0.404,0.175,0.083,0.09,0.093,0.071,0,0.085,0,168039109,서울 마포구 양화로6길 14 2층 정육도,0507-1383-6607,한우1등급 등심,"36,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230510_210%2F1683703867396OCqSc_JPEG%2F%25C7%25D1%25BF%25EC%25C6%25AF%25BC%25B1.jpg,한우1등급 차돌,"28,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230510_83%2F1683703917174bIsDm_JPEG%2F%25C7%25D1%25BF%25EC%25C6%25AF%25BC%25B1.jpg,한우 육회,"22,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230510_244%2F1683703945508OalkC_JPEG%2F%25C7%25D1%25BF%25EC%25C6%25AF%25BC%25B1.jpg,우대갈비세트,"65,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230516_4%2F1684215841623OzRWM_JPEG%2F%25BF%25EC%25B4%25EB%25B0%25A5%25BA%25F1%25BC%25BC%25C6%25AE65000.jpg
함반,0.275,0.152,0.158,0.087,0.105,0.048,0.04,0.062,0.073,143163141,서울 마포구 월드컵로1길 54 1층 함반,0507-1336-0394,모아 함반,"15,000원",none,닭고기함박/추가메뉴,"4,000원",none,돼지고기함박/추가메뉴,"4,500원",none,닭고기 함반,"13,000원",none
쿠이신보,0.437,0.18,0.153,0.036,0.113,0.034,0,0.032,0.016,3626606,서울 마포구 양화로6길 38 2층,02-332-9215,카라아게,"9,800원",none,연어샐러드,"14,000원",none,모모니쿠 꼬치구이,"2,800원",none,야끼토리8종세트,"24,000원",none
퍼들 파스타바,0.276,0.168,0.139,0.106,0.178,0.052,0,0.082,0,101722229,서울 마포구 와우산로15길 40 B102호,0507-1376-3835,라구,"20,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231002_124%2F1696241767286DUVsH_JPEG%2F56396D67-0014-43BD-9D2A-C709D814C532.jpeg,소고기 타르타르,"27,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230619_177%2F1687156214397InQyv_JPEG%2FKakaoTalk_20230212_182826097_02_-_%25BA%25B9%25BB%25E7%25BA%25BB.jpg,바깔라,"19,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230619_14%2F1687153915316fVfhD_JPEG%2FKakaoTalk_20230619_145104016.jpg,토마토치즈,"17,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f400_300&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230619_186%2F1687154919417bmLrF_JPEG%2FKakaoTalk_20230619_150617223_12.jpg
코지로,0.353,0.209,0.147,0,0,0.078,0,0.213,0,3329243,서울 영등포구 선유동2로 73 3층 코지로,0507-1412-2933,사시미세트,"74,000원",none,일품세트,"51,000원",none,광어사시미,"25,000원",none,토마토샐러드,"12,000원",none
