가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크,address,tel,menu1,price,menu2,price2,menu3,price3,menu4,price4
라멘트럭 상수본점,0.352,0.144,0.072,0.044,0.056,0.068,0.077,0.022,0.164,3609786,서울 마포구 독막로14길 31 1층 라멘트럭,02-336-8456,여름 특선 냉라멘,"10,000원",라멘,"10,000원",신라멘,"11,000원",진라멘,"10,000원"
대승곱창,0.313,0.259,0.049,0.152,0.115,0,0.057,0.056,0,193413300,서울 마포구 동교로38길 4 2층,0507-1472-1503,모듬구이 (곱창 대창 막창),"52,000원",순두부찌개(서비스),무료,한우 곱창(210g),"23,000원",한우 대창(210g),"23,000원"
대림국수 연남점,0.251,0.16,0.158,0.094,0.083,0.091,0.059,0.061,0.043,186271837,서울 마포구 동교로 274 1층,0507-1364-5107,모듬숯불꼬치,"25,000원",꼬치국수 온면,"11,000원",꼬치국수 비빔면,"10,000원",덮밥,"8,000원"
벽돌해피푸드 합정점,0.333,0.118,0.176,0.078,0.033,0,0.131,0.131,0,165775094,"서울 마포구 양화로6길 45 1층, 지하1층",02-333-4555,마라샹궈,"23,000원",마라탕면,"18,000원",토마토 계란 덮밥,"12,000원",사천식 돼지고기 튀김,"23,000원"
진만두,0.385,0.158,0.222,0.042,0.097,0.044,0,0.03,0.022,3728868,서울 마포구 와우산로29길 4-42,02-338-1117,동파육 (한정소량),"32,000원",오향진장육,"23,000원",따 빠오즈 (소),"13,500원",쯩겨,"8,000원"
키친봄날,0.295,0.125,0.133,0.037,0.198,0.073,0.101,0.007,0.031,3757821,서울 서대문구 신촌로11길 62 1층 키친봄날,0507-1405-4440,,,,,,,,
판다딤섬,0.246,0.169,0.165,0.132,0.092,0.095,0.031,0.07,0,128902200,서울 마포구 동교로38안길 22 2층,0507-1381-4909,북경오리(HALF)🐼,"35,000원",흑후추소고기덮밥🐼,"13,000원",마라비빔면🐼,"11,000원",샤오롱바오🐼,"5,500원"
원당국수 잘하는 집,0.327,0.097,0.058,0.024,0.104,0.173,0.149,0,0.067,2103784,서울 마포구 동교로 22,02-322-5582,잔치국수,"6,000원",비빔국수,"7,000원",온메밀,"7,000원",판메밀,"7,000원"
슈츄안꼬치훠궈마라탕,0.324,0.177,0.154,0.034,0.147,0.082,0.082,0,0,111855881,서울 마포구 어울마당로 59 2층,02-3144-3911,[]배민1위 사골마라탕은 특별함 [[메뉴설명필독]](중中((24가지 기본재료 체크필수)),"10,000원",[]마라반(비빔) 밥도둑 마라샹궈NO 한국식 야식킬러(중中((24가지 기본재료 체크필수)),"13,000원",[]토마토마라탕(몸보신킹) 매니아탕 짬뽕똠양꿍느낌(중中((24가지 기본재료 체크필수)),"11,000원",[]쑤로우 (쫄깃탕수육튀김)[슈퍼강추] 비법고추가루양념(중),"13,900원"
오리지널시카고피자 홍대본점,0.35,0.161,0.107,0.111,0.058,0,0.082,0.131,0,3555413,서울 마포구 독막로7길 51 3층,0507-1306-4636,,,,,,,,
옆구르기,0.245,0.155,0.15,0.117,0.145,0.014,0,0.136,0.038,188869682,서울 마포구 포은로2길 13 1층,0507-1312-5961,새우 알배추 롤,"14,000원",게랑토니,"19,500원",플랫밤(Ice only),"6,500원",귤몬,"5,000원"
구공탄곱창 본점,0.466,0.147,0.083,0.047,0.054,0.098,0.074,0.032,0,2098609,서울 마포구 양화로6길 77,0507-1363-9010,막창구이,"13,000원",소금막창+곱창+치즈,"31,000원",곱창구이,"13,000원",오돌갈비,"13,000원"
히메시야,0.374,0.143,0.067,0.042,0.1,0.06,0.061,0.008,0.146,3362674,서울 마포구 독막로15길 3-18 지층 히메시야,0507-1417-4562,특에비가츠동,"12,000원",연어뱃살덮밥,"15,500원",가츠동,"9,500원",더블가츠동,"12,500원"
목란,0.378,0.188,0.188,0.085,0.131,0,0.03,0,0,1188045,서울 서대문구 연희로15길 21,02-732-0054,마라비프 (소),"45,000원",마라비프 (대),"68,000원",몽골리안 비프 (소),"45,000원",몽골리안 비프 (대),"68,000원"
슈퍼두퍼 홍대점,0.279,0.077,0.128,0.114,0.125,0.014,0.028,0.111,0.125,134982358,서울 마포구 양화로 165 1층,02-332-9021,꼬르동 레드 버거,"15,900원",베이컨 에그 온 버거,"12,900원",꼬르동 블루 버거,"13,900원",슈퍼두퍼 버거 세트,변동
산동꾸냥수제만두,0.348,0.096,0.202,0.006,0.073,0.101,0.022,0.028,0.124,118077694,서울 마포구 연남로 12 1층,02-337-3277,마파두부덮밥,"9,000원",대만쏘시지볶음밥,"9,500원",진짐고기만두,"12,000원",육육덮밥,"9,000원"
만추 현대백화점신촌점,0.42,0.13,0.062,0.062,0.117,0.037,0.086,0.025,0.062,113316882,서울 서대문구 신촌로 83 현대백화점 신촌점 지하 1층 만추,02-3145-2040,명장_짜장면,"9,000원",소고기_짬뽕,"11,900원",유니_짜장면,"7,000원",짬뽕,"9,000원"
카미야,0.343,0.115,0.087,0.035,0.065,0.164,0.089,0.031,0.072,1953534,서울 마포구 와우산로21길 28-6,02-322-5733,히레 치킨가츠,"8,500원",치킨가츠,"8,000원",믹스가츠,"9,500원",믹스카레,"9,500원"
미로식당,0.367,0.167,0.2,0.111,0.133,0.011,0,0.011,0,3791569,서울 마포구 와우산로30길 80 1층,0507-1412-3777,오늘의메뉴,"25,000원",미로소갈비찜,"30,000원",쭈꾸미볶음,"22,000원",한우육회,"27,000원"
사카바 토리야,0.358,0.201,0.108,0.128,0,0.089,0,0.116,0,126834454,서울 마포구 독막로3길 38 2층,0507-1353-4741,하단의 메뉴판 참고 부탁드립니다!,변동,,,,,,
우탕,0.232,0.165,0.101,0.125,0.104,0.03,0.061,0.064,0.118,148479812,서울 마포구 성미산로17길 115 우탕,0507-1302-0363,갈비탕,"15,000원",갈비탕(특),"25,000원",갈비수육,"55,000원",갈비탕 얼큰,"16,000원"
김밥말자,0.335,0.155,0.018,0.065,0.119,0.137,0.065,0,0.108,190867477,서울 마포구 독막로 50 1층,0507-1449-1618,샐러드김밥 Salad Gimbap,"4,900원",그냥 김밥 Gimbap,"3,500원",치즈김밥 Cheese Gimbap,"4,000원",참치 김밥 Tuna Gimbap,"4,500원"
중화복춘 골드,0.293,0.157,0.17,0.056,0.146,0,0.095,0.082,0,103877722,서울 마포구 월드컵북로6길 42 101호,0507-1435-2209,X.O해선장즙 빠오위 [蒸鲍鱼],"40,000원",매생이 샥스핀 스프 [海草鱼翅羹],"20,000원",정통 사자두 찜 [松儿狮子头][一人],"28,000원",[복춘 흑초 오품 냉채] [五品凉菜],"70,000원"
일마일라 마포점,0.217,0.194,0.077,0.177,0.202,0.066,0.034,0.034,0,138329971,서울 마포구 와우산로29마길 16 2층,0507-1376-8578,테이블기본세트(훠궈탕+깐양20꼬치),"18,000원",점심특선(소고기+야채+버섯+칼국수),"12,000원",양고기,"7,000원",옌수지(대만식닭튀김),"9,000원"
조원,0.332,0.169,0.147,0.053,0.085,0.1,0.053,0,0.06,195650826,서울 마포구 성미산로 151 1층,0507-1345-6851,어향가지덮밥,"11,000원",동파육덮밥,"11,000원",향라오징어,"20,000원",라조육,"19,000원"
황금룡,0.376,0.162,0.109,0.052,0.087,0.071,0.09,0,0.054,3083661,서울 마포구 포은로 90,02-324-0442,짜장면,"6,000원",매운짜장,"7,000원",짬뽕,"8,000원",황금룡 특짬뽕,"15,000원"
준가츠,0.243,0.151,0.102,0.047,0.153,0.074,0.121,0.007,0.102,129562129,서울 마포구 홍익로 10 101동 1층 121호  푸르지오 상가,0507-1348-6360,냉모밀,"11,000원",오코노미가츠,"12,000원",새우가츠,"12,000원",가츠카레,"11,000원"
스미비부타동,0.315,0.102,0.077,0.065,0.063,0.078,0.094,0.025,0.181,147957596,서울 마포구 와우산로13길 19,02-336-5110,스미비부타동,"10,000원",마제소바,"10,000원",부타마제소바,"13,000원",점보부타동,"13,000원"
낭풍,0.343,0.16,0.014,0.093,0.069,0.148,0.172,0,0,49354629,서울 마포구 동교로 253 2층,0507-1412-2170,낭풍찌개 보통(2-3인),"19,000원",낭풍찜 보통(2-3인),"21,000원",왕계란말이,"7,000원",낭풍찌개 중간(3~4),"24,000원"
손오공마라탕 서교점,0.298,0.136,0.059,0.112,0.152,0.076,0.064,0,0.102,188912922,서울 마포구 잔다리로6길 23 2층,02-336-4888,마라탕,"7,000원",마라샹궈,"13,000원",마라반,"7,000원",꿔바로우,"14,900원"
지하102호 1호점,0.437,0.257,0.13,0.084,0,0.093,0,0,0,117840588,서울 마포구 양화로6길 57-22 지층 102호,0507-1308-8648,차돌박이 마늘짬뽕,"22,000원",숯불 닭구이,"20,000원",오늘의 사사미,"37,000원",참치타다끼,"25,000원"
알배기,0.319,0.175,0.112,0.112,0.214,0.032,0.036,0,0,158984682,서울 마포구 양화로6길 57-13 1.5F,0507-1498-9877,,,,,,,,
탐스피자,0.383,0.144,0.182,0.033,0.077,0.033,0.043,0.086,0.019,110042934,서울 마포구 신촌로2안길 35 1층,02-6014-7400,화이트 머슈룸,"27,000원",페퍼로니,"24,000원",버팔로 윙 9PCS,"12,000원",,
천이오겹살 합정본점,0.385,0.151,0.089,0.017,0.065,0.211,0.074,0,0.007,1311050,서울 마포구 양화로7길 12,02-325-2920,냉동 삼겹살,"10,000원",오겹살,"10,000원",냉동 오겹살,"10,000원",차돌술밥,"7,000원"
옛맛서울불고기,0.323,0.084,0.045,0.05,0.082,0.159,0.235,0,0.022,2121966,서울 마포구 독막로 56,0507-1315-9371,소불고기(저녁),"21,000원",갈비탕(점심),"13,000원",소등심(저녁),"22,000원",소고기무국(점심),"12,000원"
카츠요,0.232,0.197,0.046,0.149,0.151,0.031,0.034,0.063,0.096,107237620,서울 마포구 동교로34길 17 101호 카츠요,0507-1311-3319,상로스카츠(상등심),"15,000원",히레카츠(안심),"14,000원",로스카츠(등심),"13,000원",,
고에몬 AK플라자 홍대,0.351,0.128,0.162,0.075,0.051,0.035,0.096,0.058,0.044,142631571,서울 마포구 양화로 188 AK& 홍대점 5층,02-789-9852,까르보나라 멘타이꼬,"13,000원",수플레오믈렛 멘타이꼬 리조또,"15,000원",소시지&스팸 나폴리탄,"14,000원",요쿠바리간자버터,"14,000원"
문득 연남점,0.235,0.134,0.136,0.09,0.097,0.082,0.087,0.138,0,159976837,서울 마포구 동교로 257 1층 문득,0507-1307-2186,깨크러스트 돈마호크 스테이크(한정),"31,000원",매콤토마토 돈마호크 커틀렛,"22,000원",베이컨 청양크림 파스타,"15,000원",트러플버섯 크림파스타,"15,000원"
멕시코다이너 멕시코식당2호점,0.378,0.106,0.175,0.077,0.073,0.034,0.043,0.113,0,179536663,서울 마포구 토정로3안길 33 1층 멕시코다이너,0507-1344-5490,치미창가,"16,500원",엔칠라다,"12,500원",부리또볼,"10,500원",퀘사디아,"10,500원"
프롬더맘,0.268,0.18,0.029,0.093,0.146,0.073,0.063,0.044,0.102,3679745,서울 마포구 동교로38길 33-10 지층 B02호,0507-1351-0408,꼬막비빔밥,"13,000원",차돌시래기국,"9,900원",순살닭볶음탕,"32,000원",,
단디 연남직영점,0.368,0.155,0.116,0.112,0.069,0.031,0.039,0.051,0.06,120877460,서울 마포구 동교로 265 1층,0507-1355-5113,부타동,"10,500원",야끼규동,"11,500원",사케동,"15,500원",호르몬동,"12,000원"
꿀돼지집,0.377,0.189,0.102,0.034,0.087,0.079,0.104,0.026,0,144706357,서울 마포구 동교로 236,0507-1342-8177,급랭삼겹살,"14,000원",제주흑돼지 꼬들살,"14,000원",생삼겹살,"16,000원",급랭 꽃목살,"14,000원"
여우골 홍대점,0.303,0.195,0.054,0.077,0.131,0.11,0.054,0,0.075,3725740,서울 마포구 와우산로19길 9,02-325-8717,특초밥,"17,000원",여우초밥,"22,000원",모듬초밥,"12,000원",연어세트,"17,000원"
옥희네 떡볶이,0.253,0.166,0.052,0.115,0.056,0.156,0.064,0,0.138,192789320,서울 서대문구 신촌로 61-1 1층,0507-1331-1714,옥희네 떡볶이,"4,000원",부산 어묵,"1,000원",김가루주먹밥,"2,000원",치킨마요덮밥,"4,000원"
토리후쿠,0.347,0.209,0.097,0.046,0.158,0.061,0.015,0.036,0.031,147225175,서울 마포구 독막로7길 6,0507-1418-7726,야키토리 7종,"28,000원",,,,,,
소고산제일루,0.396,0.126,0.113,0.039,0.157,0.061,0.078,0.03,0,1834767,서울 마포구 잔다리로6길 40-6 2층,02-3141-3045,훠궈(2~3인분),"45,000원",동북꿔바로우,"19,000원",천진고기만두,"7,000원",부추군만두,"7,000원"
카즈,0.472,0.176,0.153,0.114,0,0,0,0.085,0,3522200,서울 마포구 월드컵로3길 44,02-335-1631,,,,,,,,
홍대화덕피자,0.377,0.178,0.101,0.053,0.12,0.031,0.022,0.118,0,3083736,서울 마포구 독막로7길 5 1층,02-333-2282,꽈트로 스타지오네,"25,000원",꽈트로포르마지,"22,500원",크로칸티,"22,000원",고르곤졸라,"18,500원"
시시,0.252,0.198,0.12,0.114,0.12,0.057,0.057,0,0.081,114411152,"서울 마포구 월드컵로3길 14 2층, 225호,226호(딜라이트스퀘어 2차)",010-6436-5877,중식냉면,"12,000원",탕수육(소),"20,000원",간짜장,"9,000원",산니백육,"15,000원"
참바른김밥,0.253,0.169,0.062,0.054,0.147,0.102,0.111,0.005,0.096,102732116,서울 마포구 독막로 43-1 101호,02-323-8737,다이어트김밥,"6,000원",계란김밥,"5,000원",참바른김밥,"3,500원",참치김밥,"4,500원"
미미본관,0.34,0.141,0.141,0.026,0.108,0.12,0.035,0.09,0,120079992,서울 마포구 월드컵로1길 48 지하1층,010-6713-6951,3가지 선택 셋트메뉴,"45,000원",칠리새우(s)6마리,"18,000원",제주산생등심탕수육,"25,000원",깐풍기,"25,000원"
업투미,0.219,0.151,0.134,0.104,0.135,0.099,0.056,0.102,0,152128046,서울 마포구 성미산로29길 29-9,010-7174-1288,업투미 봄 5코스요리.,"60,000원",,,,,,
금성회관 합정본점,0.289,0.209,0,0.16,0.146,0.054,0,0.142,0,134852632,서울 마포구 양화로6길 78 1층,0507-1331-0974,금성 생갈비 200g,"16,000원",금성 양념갈비 200g,"16,000원",설화갈비 220g,"18,000원",설화양념갈비 220g,"19,000원"
네즈,0.347,0.213,0.134,0.155,0,0.036,0,0.115,0,112503709,서울 마포구 성지길 35 1층 네즈,0507-1343-1175,모듬사시미 2인,"42,000원",대삼치조림,"26,000원",멘치카츠,"18,000원",표고버섯 하사미아게,"18,000원"
우디네,0.271,0.169,0.093,0.137,0.089,0.02,0,0.222,0,157420772,서울 마포구 토정로3안길 29 나무문,02-336-0000,Daily lunch set (1인),"25,000원",Basil gnocchi,"21,000원",Bottle wine,변동,,
히메시야 서교점,0.316,0.154,0.057,0.045,0.085,0.061,0.057,0.028,0.198,97675964,서울 마포구 와우산로29마길 7 지층 히메시야,0507-1410-4562,규동,"10,000원",호르몬동(牛대창덮밥,"13,500원",카츠동,"9,500원",더블카츠동,"12,500원"
카시와,0.227,0.163,0.158,0.12,0.164,0.059,0.023,0.085,0,161199192,서울 마포구 동교로 112 1층 카시와,0507-1369-8264,런치 스시정식,"28,000원",디너 오마카세 코스,"77,000원",,,,
기요한,0.272,0.154,0.164,0.057,0.116,0.043,0.067,0.017,0.11,179472374,서울 마포구 동교로12길 3 1층기요한,02-332-5485,기요한 카이센동,"16,000원",가니 카이센동,"19,000원",우니 카이센동,"22,000원",특상,"29,000원"
에트나퓨,0.287,0.196,0.141,0.076,0.115,0.079,0.026,0.081,0,192215941,서울 마포구 동교로38안길 3 2층,0507-1408-0517,세트메뉴,"39,500원",,,,,,
풀뜯는돼지,0.333,0.182,0.155,0.071,0.185,0.049,0.025,0,0,163036014,서울 마포구 동교로32길 7 1층 풀뜯는돼지,0507-1343-1690,미나리삼겹살,"15,000원",미나리추가,"3,000원",미나리비빔밥+된장찌개,"9,000원",생삼겹살(150g),"13,000원"
브로콜리,0.212,0.124,0.092,0.09,0.208,0.079,0.033,0.041,0.122,135591558,서울 마포구 성미산로 194-7 브로콜리,0507-1372-6460,,,,,,,,
빠넬로,0.33,0.142,0.221,0.057,0.168,0.017,0,0.066,0,3370733,서울 마포구 어울마당로5길 29,02-322-0920,피지 파스타 까르네 안티,변동,이탈리아 와인,변동,마르게리따부팔라피자,"25,000원",부라따피자,"35,000원"
라뜰리에 파사주,0.322,0.14,0.152,0.113,0.096,0.047,0,0.129,0,119037571,서울 마포구 성지5길 8 1F 라뜰리에파사주,0507-1367-8995,파흐망티에,"21,000원",파리지엥 뇨끼,"18,000원",스테이크 프랑세,"29,000원",사보이양배추,"21,000원"
금문중화요리,0.379,0.132,0.047,0.052,0.08,0.1,0.133,0,0.078,167585951,서울 마포구 월드컵로1길 14 B1층,0507-1374-8698,간짜장면,"8,000원",해물쟁반짜장면,"10,000원",삼선간짜장면,"9,000원",유니짜장면,"7,000원"
별자리마라탕&훠궈 무한리필 홍대점,0.355,0.094,0.046,0.058,0.128,0.126,0.104,0,0.089,103443772,서울 마포구 와우산로23길 50 지하1층,0507-1413-0589,마라탕 麻辣烫(국물요리)(1인분(고기불포함)),"10,000원",마라탕 麻辣烫(국물요리)(1.5인분(고기불포함)),"15,000원",마라탕 麻辣烫(국물요리)(2인분(고기불포함)),"20,000원",마라상궈麻辣香锅 (소고기 50g 서비스)(1인분),"17,000원"
해머스,0.253,0.176,0.084,0.095,0.134,0.055,0,0.13,0.075,135457076,서울 마포구 월드컵북로4길 26 1층 해머스,0507-1303-5076,레베케제 샌드위치,"2,300원",잠봉뵈르,"9,500원",잠봉라페 샌드위치,"9,500원",Jambon 잠봉 [100g],"5,900원"
이빠네마그릴 스테이크 홍대점,0.308,0.169,0.115,0.054,0.072,0.096,0.114,0.073,0,104912521,서울 마포구 홍익로 7 지하1층,02-323-4440,런치 슈하스코(무한리필),"35,900원",점심특선 스테이크(채끝+토시살),"18,900원",슈하스코+스테이크(무한리필),"45,900원",디너 슈하스코(무한리필),"41,900원"
